"ID","Species_Eng","CommonName","Classification","Classification2"
1733,"Juglans sp.","walnut","walnut","Wild Nuts"
1760,"Juglans sp.","walnut","walnut","Wild Nuts"
1773,"Juglans sp.","walnut","walnut","Wild Nuts"
1794,"Juglans sp.","walnut","walnut","Wild Nuts"
1870,"Juglans sp.","walnut","walnut","Wild Nuts"
1877,"Juglans sp.","walnut","walnut","Wild Nuts"
3261,"Juglans sp.","walnut","walnut","Wild Nuts"
1171,"Oryza sativa","rice","crop (rice)","Millets + Rice"
269,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
71,"Juglans sp.","walnut","walnut","Wild Nuts"
1988,"Quercus sp.","oaks","acorn","Wild Nuts"
252,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
694,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1545,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1950,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1993,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2231,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2380,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2676,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2729,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2777,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2804,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
3027,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
3191,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
341,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
696,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1414,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1546,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1623,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1951,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1975,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1995,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2025,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2233,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2500,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2543,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2677,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2731,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2805,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3017,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3026,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3193,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3247,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3015,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1973,"Castanea sp.","chestnut","chestnut","Wild Nuts"
2014,"Castanea sp.","chestnut","chestnut","Wild Nuts"
2353,"Castanea sp.","chestnut","chestnut","Wild Nuts"
2743,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
1000,"Quercus sp.","oaks","acorn","Wild Nuts"
2256,"Quercus sp.","oaks","acorn","Wild Nuts"
2352,"Quercus sp.","oaks","acorn","Wild Nuts"
3256,"Quercus sp.","oaks","acorn","Wild Nuts"
1972,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
2015,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
867,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
788,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
250,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1947,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2675,"Oryza sativa","rice","crop (rice)","Millets + Rice"
866,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
789,"cf. Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2075,"Oryza sativa","rice","crop (rice)","Millets + Rice"
999,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
1479,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1987,"Juglans sp.","walnut","walnut","Wild Nuts"
2257,"Juglans sp.","walnut","walnut","Wild Nuts"
2354,"Juglans sp.","walnut","walnut","Wild Nuts"
2810,"Juglans sp.","walnut","walnut","Wild Nuts"
3257,"Juglans sp.","walnut","walnut","Wild Nuts"
3023,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
2735,"Juglans sp.","walnut","walnut","Wild Nuts"
343,"Juglans sp.","walnut","walnut","Wild Nuts"
1971,"Juglans sp.","walnut","walnut","Wild Nuts"
2016,"Juglans sp.","walnut","walnut","Wild Nuts"
2038,"Juglans sp.","walnut","walnut","Wild Nuts"
442,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
2564,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
2645,"Juglans sp.","walnut","walnut","Wild Nuts"
1202,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2026,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2046,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2072,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2330,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1201,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2047,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2074,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2331,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2381,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2470,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
991,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
595,"Juglans sp.","walnut","walnut","Wild Nuts"
720,"Juglans sp.","walnut","walnut","Wild Nuts"
1990,"Oryza sativa","rice","crop (rice)","Millets + Rice"
164,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
162,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
166,"Juglans sp.","walnut","walnut","Wild Nuts"
163,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
197,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
198,"Juglans sp.","walnut","walnut","Wild Nuts"
174,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
177,"Juglans sp.","walnut","walnut","Wild Nuts"
1442,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1454,"Quercus sp.","oaks","acorn","Wild Nuts"
1477,"Quercus sp.","oaks","acorn","Wild Nuts"
1444,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1453,"Juglans sp.","walnut","walnut","Wild Nuts"
934,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1457,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2469,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
935,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1459,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
3210,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2492,"Quercus sp.","oaks","acorn","Wild Nuts"
3224,"Quercus sp.","oaks","acorn","Wild Nuts"
1455,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2467,"Oryza sativa","rice","crop (rice)","Millets + Rice"
3225,"Juglans sp.","walnut","walnut","Wild Nuts"
1796,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1795,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1798,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1812,"Juglans sp.","walnut","walnut","Wild Nuts"
1811,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
1814,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1816,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1830,"Juglans sp.","walnut","walnut","Wild Nuts"
1829,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
1899,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1898,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1908,"Castanea sp.","chestnut","chestnut","Wild Nuts"
1907,"Quercus sp.","oaks","acorn","Wild Nuts"
1901,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1909,"Juglans sp.","walnut","walnut","Wild Nuts"
2141,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2418,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2152,"Juglans sp.","walnut","walnut","Wild Nuts"
2431,"Juglans sp.","walnut","walnut","Wild Nuts"
2140,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2419,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2518,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2538,"Quercus sp.","oaks","acorn","Wild Nuts"
2517,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2539,"Juglans sp.","walnut","walnut","Wild Nuts"
1511,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1208,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1510,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1521,"Juglans sp.","walnut","walnut","Wild Nuts"
2296,"Juglans sp.","walnut","walnut","Wild Nuts"
2279,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1207,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1212,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2281,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2184,"Quercus sp.","oaks","acorn","Wild Nuts"
2319,"Juglans sp.","walnut","walnut","Wild Nuts"
2162,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2310,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2164,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2311,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2185,"Juglans sp.","walnut","walnut","Wild Nuts"
3277,"Quercus sp.","oaks","acorn","Wild Nuts"
3276,"Juglans sp.","walnut","walnut","Wild Nuts"
1835,"Juglans sp.","walnut","walnut","Wild Nuts"
558,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
559,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
626,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
627,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
38180,"Oryza sativa","rice","crop (rice)","Millets + Rice"
38124,"Quercus aliena / Quercys crispula","oriental white oak, mizunara oak","acorn","Wild Nuts"
38128,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
38181,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
38175,"Quercus sp.","oaks","acorn","Wild Nuts"
24100,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
24101,"Quercus acutissima","sawtooth oak","acorn","Wild Nuts"
24103,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
24099,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
23928,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
24007,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
23954,"Oryza sativa","rice","crop (rice)","Millets + Rice"
24047,"Oryza sativa","rice","crop (rice)","Millets + Rice"
24098,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
24096,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
24102,"Quercus acutissima","sawtooth oak","acorn","Wild Nuts"
24104,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
23929,"Quercus sp.","oaks","acorn","Wild Nuts"
24008,"Quercus sp.","oaks","acorn","Wild Nuts"
24097,"Quercus sessilifolia","tsukubanegashi oak","acorn","Wild Nuts"
24095,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
24094,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
16627,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
16643,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
16624,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
40784,"Oryza sativa","rice","crop (rice)","Millets + Rice"
61115,"Oryza sativa","rice","crop (rice)","Millets + Rice"
61117,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
52648,"Quercus sp.","oaks","acorn","Wild Nuts"
52651,"Juglans mandshurica var. cordiformis (Yakurumi)","Himekariya walnut (extinct species)","walnut","Wild Nuts"
52646,"Fagus hayatae","Taiwan beech","beechnut","Wild Nuts"
52647,"Fagus sp.","Japanese beech","beechnut","Wild Nuts"
58584,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
49066,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
49054,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
35496,"Quercus sp.?","oaks?","acorn","Wild Nuts"
49052,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
11907,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
13693,"Quercus sp.","oaks","acorn","Wild Nuts"
49053,"Quercus sp.","oaks","acorn","Wild Nuts"
13689,"cf. Oryza sp.","rice","crop (rice)","Millets + Rice"
49064,"Oryza sativa","rice","crop (rice)","Millets + Rice"
35495,"Corylus sieboldiana?","Japanese hazel?","hazelnut","Wild Nuts"
35493,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
11908,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
11904,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
11910,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
11928,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
25850,"Quercus crispula","mizunara oak","acorn","Wild Nuts"
11946,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
35491,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
49051,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
35492,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
54490,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
54489,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
58908,"Oryza sativa","rice","crop (rice)","Millets + Rice"
58911,"Quercoideae (Quercus / Castanopsis / Lithocarpus / Cyclobalanopsis)","oak acorn","acorn / beechnut","Wild Nuts"
30885,"Fagus crenata","Japanese beech","beechnut","Wild Nuts"
30888,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
29790,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
29789,"Oryza sativa","rice","crop (rice)","Millets + Rice"
30886,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
29769,"Quercus sp.","oaks","acorn","Wild Nuts"
29768,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
30889,"Quercus sp.","oaks","acorn","Wild Nuts"
30911,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
30887,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
5579,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
29776,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
29766,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
30880,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
1296,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
635,"Oryza sativa","rice","crop (rice)","Millets + Rice"
644,"Oryza sativa","rice","crop (rice)","Millets + Rice"
664,"Oryza sativa","rice","crop (rice)","Millets + Rice"
826,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1294,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2690,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2709,"Oryza sativa","rice","crop (rice)","Millets + Rice"
3209,"Oryza sativa","rice","crop (rice)","Millets + Rice"
186,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
1312,"Quercus sp.","oaks","acorn","Wild Nuts"
188,"Juglans sp.","walnut","walnut","Wild Nuts"
1298,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1314,"Juglans sp.","walnut","walnut","Wild Nuts"
2621,"Juglans sp.","walnut","walnut","Wild Nuts"
3279,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
645,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
666,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
765,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
827,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
1053,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2655,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2691,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
2710,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
636,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
667,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
1055,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2656,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2693,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2712,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
2969,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
657,"Quercus sp.","oaks","acorn","Wild Nuts"
689,"Quercus sp.","oaks","acorn","Wild Nuts"
2707,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
851,"Quercus sp.","oaks","acorn","Wild Nuts"
2727,"Quercus sp.","oaks","acorn","Wild Nuts"
933,"Oryza sativa","rice","crop (rice)","Millets + Rice"
2651,"Oryza sativa","rice","crop (rice)","Millets + Rice"
1052,"Oryza sativa","rice","crop (rice)","Millets + Rice"
772,"Juglans sp.","walnut","walnut","Wild Nuts"
2728,"Juglans sp.","walnut","walnut","Wild Nuts"
2968,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
2576,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
1071,"Castanea sp.","chestnut","chestnut","Wild Nuts"
2851,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
767,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
690,"Juglans sp.","walnut","walnut","Wild Nuts"
852,"Juglans sp.","walnut","walnut","Wild Nuts"
1072,"Juglans sp.","walnut","walnut","Wild Nuts"
2674,"Juglans sp.","walnut","walnut","Wild Nuts"
2861,"Juglans sp.","walnut","walnut","Wild Nuts"
2708,"Juglans sp.","walnut","walnut","Wild Nuts"
50645,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
47371,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
47373,"Oryza sativa","rice","crop (rice)","Millets + Rice"
51881,"Oryza sativa","rice","crop (rice)","Millets + Rice"
46744,"Oryza sativa","rice","crop (rice)","Millets + Rice"
46745,"Oryza sativa","rice","crop (rice)","Millets + Rice"
46263,"Oryza sativa","rice","crop (rice)","Millets + Rice"
51942,"Oryza sativa","rice","crop (rice)","Millets + Rice"
51910,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
52667,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
51911,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
51908,"Corylus heterophylla","Asian hazel","hazelnut","Wild Nuts"
50405,"Quercus sp.","oaks","acorn","Wild Nuts"
51914,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
51912,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
51913,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
51876,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
51915,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
51909,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
50404,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
52119,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
52116,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
52115,"Corylus heterophylla","Asian hazel","hazelnut","Wild Nuts"
52121,"Castanea sp. / Quercus sp.","chestnut, oak","acorn / chestnut","Wild Nuts"
52120,"Quercus sp.","oaks","acorn","Wild Nuts"
52118,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
52117,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
53702,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
46722,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
46723,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
47383,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
47384,"Quercus sp.","oaks","acorn","Wild Nuts"
47374,"Oryza sativa","rice","crop (rice)","Millets + Rice"
50637,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
50665,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
46750,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
50638,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
50632,"Oryza sativa","rice","crop (rice)","Millets + Rice"
51906,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
52113,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
52666,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51907,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
52114,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
3706,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
3704,"Oryza sativa","rice","crop (rice)","Millets + Rice"
49664,"Oryza sativa","rice","crop (rice)","Millets + Rice"
12664,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5777,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51579,"Quercus sp.","oaks","acorn","Wild Nuts"
53284,"Quercus sp.","oaks","acorn","Wild Nuts"
51578,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
61504,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
61506,"Lithocarpus glaber","Japanese blue oak","acorn","Wild Nuts"
61505,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
51583,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
12663,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51577,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
56266,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
43880,"Oryza sativa","rice","crop (rice)","Millets + Rice"
39493,"Juglans sp.","walnut","walnut","Wild Nuts"
51724,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
25958,"Juglans mandshurica var. cordiformis /?","manchurian walnut?","walnut","Wild Nuts"
25959,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
50601,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
51035,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51043,"Juglans sp.","walnut","walnut","Wild Nuts"
51036,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
24907,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
